"parcel","situs_address","situs_city","situs_zip","total_due_numeric","bill_years"
"099134-1468",,,,"0.0",""
"154166-2295",,,,"17.22",""
"156590-3050",,,,"0.0",""
"971480-1100",,,,"0.0",""
"006393-0100",,,,"1008.18",""
"006892-0100",,,,"20.81",""
"008806-0266",,,,"0.0",""
"013128-1300",,,,"0.0",""
"014272-0730",,,,"3286.71",""
"015250-0000",,,,"6884.81",""
"020740-0000",,,,"5950.67",""
"023854-0000",,,,"0.0",""
"024586-0000",,,,"6909.28",""
"024864-0000",,,,"2341.22",""
"060997-0000",,,,"0.0",""
"092162-0000",,,,"0.0",""
"971483-8100",,,,"0.0",""
"000565-0000",,,,"261.05",""
"000841-0000",,,,"291.77",""
"000869-0000",,,,"284.72",""
"002359-0170",,,,"881.36",""
"002651-1395",,,,"0.0",""
"002836-0010",,,,"789.77",""
"003099-0000",,,,"696.76",""
"005539-0000",,,,"1993.73",""
"005540-0000",,,,"157.2",""
"005541-0000",,,,"157.2",""
"005677-0000",,,,"1968.72",""
"007555-0010",,,,"0.0",""
"007787-0000",,,,"0.0",""
"010726-0090",,,,"7.23",""
"925990-9000",,,,"0.0",""
"161136-6150",,,,"0.0",""
"162145-9955",,,,"0.0",""
"162927-0000",,,,"5118.24",""
"005126-0000",,,,"0.0",""
"014327-2016",,,,"0.0",""
"015020-0000",,,,"3734.63",""
"015716-1535",,,,"0.0",""
"019701-3030",,,,"3146.47",""
"019701-3510",,,,"3080.8",""
"020249-0070",,,,"0.0",""
"027769-0010",,,,"301.14",""
"029336-0100",,,,"0.0",""
"029974-0030",,,,"1172.48",""
"035113-0000",,,,"0.0",""
"165289-2040",,,,"2208.94",""
"971157-2400",,,,"0.0",""
"002258-0200",,,,"0.0",""
"002486-0120",,,,"0.0",""
"003449-3475",,,,"0.0",""
"003622-0000",,,,"0.0",""
"003673-0000",,,,"1328.6",""
"012375-0000",,,,"601.42",""
"015805-0370",,,,"0.0",""
"019314-0000",,,,"1121.17",""
"020158-5012",,,,"0.0",""
"028728-0000",,,,"0.0",""
"158533-0010",,,,"0.0",""
"005274-0000",,,,"2468.54",""
"011695-0000",,,,"5954.32",""
"012117-0000",,,,"0.0",""
"016519-2076",,,,"0.0",""
"019975-0130",,,,"0.0",""
"022040-0050",,,,"567.26",""
"027181-0000",,,,"334.27",""
"027859-0000",,,,"474.07",""
"044139-0150",,,,"0.0",""
"044139-0348",,,,"0.0",""
"046052-0000",,,,"394.04",""
"046053-0000",,,,"394.04",""
"002190-0000",,,,"813.54",""
"002191-0000",,,,"1793.75",""
"002276-0250",,,,"0.0",""
"016116-0000",,,,"0.0",""
"031580-0000",,,,"0.0",""
"038753-0000",,,,"4472.32",""
"042177-0026",,,,"0.0",""
"045713-0000",,,,"2374.77",""
"045980-0000",,,,"2835.32",""
"053218-0000",,,,"1514.72",""
"073196-0000",,,,"2263.52",""
"062521-0000",,,,"3522.71",""
"134012-0015",,,,"17126.43",""
"168378-0060",,,,"1581.97",""
"168420-0000",,,,"375.23",""
"168429-0000",,,,"793.82",""
"168477-0000",,,,"0.0",""
"073902-0090",,,,"4358.27",""
"077172-0000",,,,"6402.17",""
"096586-0000",,,,"2379.29",""
"111347-0000",,,,"8644.28",""
"122351-0000",,,,"0.0",""
"122544-0010",,,,"0.0",""
"122546-0010",,,,"0.0",""
"122554-0005",,,,"0.0",""
"130645-0010",,,,"0.0",""
"130706-0000",,,,"0.0",""
"131275-0000",,,,"0.0",""
"131323-0000",,,,"0.0",""
"131325-0000",,,,"0.0",""
"147982-0421",,,,"0.0",""
"971353-6500",,,,"0.0",""
"000173-0000",,,,"0.0",""
"003784-2575",,,,"0.0",""
"004884-0000",,,,"5128.18",""
"007525-0000",,,,"1023.66",""
"013184-0190",,,,"0.0",""
"013208-0050",,,,"376.53",""
"013208-0060",,,,"639.55",""
"013208-0070",,,,"372.65",""
"013208-0080",,,,"526.09",""
"013208-0090",,,,"0.0",""
"013308-0010",,,,"659.0",""
"013308-0014",,,,"338.02",""
"014603-1084",,,,"0.0",""
"015192-0338",,,,"0.0",""
"971223-2600",,,,"0.0",""
"009317-0000",,,,"0.0",""
"009364-0000",,,,"0.0",""
"971441-6900",,,,"0.0",""
"001191-0000",,,,"0.0",""
"001744-0020",,,,"973.19",""
"001860-2220",,,,"15824.07",""
"001860-2230",,,,"0.0",""
"001860-2285",,,,"0.0",""
"001860-2295",,,,"0.0",""
"001860-2350",,,,"0.0",""
"001860-2765",,,,"0.0",""
"001860-3235",,,,"0.0",""
"001860-3240",,,,"0.0",""
"001860-3510",,,,"0.0",""
"001860-3790",,,,"0.0",""
"001860-3795",,,,"0.0",""
"001860-3825",,,,"0.0",""
"001860-4035",,,,"0.0",""
"001860-4045",,,,"0.0",""
"001517-0015",,,,"0.0",""
"001778-0010",,,,"15785.49",""
"003261-0000",,,,"3838.11",""
"013211-0130",,,,"955.21",""
"016464-1555",,,,"0.0",""
"016519-1090",,,,"4121.25",""
"020391-0000",,,,"0.0",""
"027654-0000",,,,"0.0",""
"032357-0000",,,,"0.0",""
"034128-0000",,,,"10579.9",""
"046383-0000",,,,"0.0",""
"049111-0000",,,,"2925.08",""
"056530-0000",,,,"0.0",""
"056531-0000",,,,"0.0",""
"056532-0000",,,,"0.0",""
"056546-0000",,,,"0.0",""
"006063-0350",,,,"4661.23",""
"006088-0000",,,,"0.0",""
"000971-1110",,,,"0.0",""
"001472-1065",,,,"0.0",""
"001472-2000",,,,"0.0",""
"001560-0700",,,,"0.0",""
"006968-0000",,,,"2068.12",""
"012510-0394",,,,"0.0",""
"027856-0000",,,,"0.0",""
"038844-0000",,,,"0.0",""
"058926-0000",,,,"0.0",""
"067472-0000",,,,"0.0",""
"070040-0000",,,,"0.0",""
"086968-0000",,,,"475.62",""
"088103-0000",,,,"1261.13",""
"088877-0000",,,,"639.36",""
"099822-0000",,,,"0.0",""
"003255-0005",,,,"1739.27",""
"011273-0000",,,,"0.0",""
"014327-2326",,,,"0.0",""
"014498-0000",,,,"3254.02",""
"016309-8740",,,,"0.0",""
"016518-9185",,,,"0.0",""
"016923-0000",,,,"0.0",""
"018275-0000",,,,"0.0",""
"019622-0130",,,,"7092.11",""
"019701-3705",,,,"0.0",""
"020049-0530",,,,"0.0",""
"054070-0000",,,,"0.0",""
"055494-0000",,,,"656.48",""
"057138-0005",,,,"4429.58",""
"057138-0015",,,,"402.38",""
"058983-0010",,,,"5080.22",""
"012942-0000",,,,"0.0",""
"063414-0050",,,,"2018.61",""
"113014-9105",,,,"0.0",""
"117364-0000",,,,"0.0",""
"118082-0000",,,,"0.0",""
"118085-0000",,,,"0.0",""
"118543-0000",,,,"0.0",""
"124642-0000",,,,"0.0",""
"128312-0010",,,,"2524.94",""
"139753-0000",,,,"0.0",""
"141331-0000",,,,"0.0",""
"142257-0000",,,,"0.0",""
"143869-0020",,,,"0.0",""
"146119-0000",,,,"0.0",""
"146182-0060",,,,"0.0",""
"161136-4010",,,,"0.0",""
"161136-4172",,,,"0.0",""
"161136-4220",,,,"0.0",""
"161136-4342",,,,"0.0",""
"162566-0000",,,,"0.0",""
"169385-1204",,,,"0.0",""
"173539-0000",,,,"2009.69",""
"173701-0200",,,,"0.0",""
"971349-2200",,,,"0.0",""
"971288-3900",,,,"0.0",""
"023607-0000",,,,"1675.68",""
"046245-0000",,,,"0.0",""
"052183-0000",,,,"0.0",""
"073161-0000",,,,"2997.81",""
"106709-1000",,,,"0.0",""
"107153-0000",,,,"0.0",""
"107210-0000",,,,"0.0",""
"107282-0000",,,,"0.0",""
"107349-0000",,,,"0.0",""
"107759-0050",,,,"0.0",""
"107765-0000",,,,"0.0",""
"107994-0000",,,,"0.0",""
"168149-6335",,,,"0.0",""
"168150-0260",,,,"0.0",""
"016518-1058",,,,"0.0",""
"058853-0000",,,,"0.0",""
"087267-0000",,,,"0.0",""
"098989-0000",,,,"0.0",""
"104631-2150",,,,"0.0",""
"106754-0000",,,,"0.0",""
"112897-0850",,,,"0.0",""
"148657-1674",,,,"1840.23",""
"149206-0380",,,,"2825.03",""
"152176-0000",,,,"0.0",""
"154375-5648",,,,"0.0",""
"158767-1560",,,,"0.0",""
"162843-1120",,,,"0.0",""
"165266-6250",,,,"0.0",""
"167735-8835",,,,"0.0",""
"167745-7048",,,,"2461.46",""
